item_code,statement_type,item_name_clean,item_name_raw,stage2_role,stage2_name_match,is_summary,indent_level,non_missing_rate,non_missing_count,unit_inferred,candidate_role_hint,status,fix_note,original_column_name,sample_min,sample_p1,sample_median,sample_p99,sample_max
U03B300011800,손익계산서,할인료,할인료,,,False,0,0.0032,15,천원,,OK,,[U03B300011800]      할인료(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B300011900,손익계산서,세금과공과,세금과공과,,,False,0,0.0032,15,천원,,OK,,[U03B300011900]      세금과공과(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B300012000,손익계산서,협회비,협회비,,,False,0,0.0032,15,천원,,OK,,[U03B300012000]      협회비(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B300012100,손익계산서,감가상각비,감가상각비,,,False,0,0.0032,15,천원,감가상각비,OK,,[U03B300012100]      감가상각비(IFRS)(천원),0.0,0.0,0.0,3734119.9999999977,4342000.0
U03B300012200,손익계산서,무형자산상각비,무형자산상각비,,,False,0,0.0032,15,천원,무형자산상각비,OK,,[U03B300012200]      무형자산상각비(IFRS)(천원),0.0,0.0,0.0,37782031.89999998,41290000.0
U03B300012700,손익계산서,복구충당부채전입액,복구충당부채전입액,,,False,0,0.0032,15,천원,,OK,,[U03B300012700]      복구충당부채전입액(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B300012800,손익계산서,포인트충당부채전입액,포인트충당부채전입액,,,False,0,0.0032,15,천원,,OK,,[U03B300012800]      포인트충당부채전입액(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B300012900,손익계산서,기타충당부채전입액,기타충당부채전입액,,,False,0,0.0032,15,천원,,OK,,[U03B300012900]      기타충당부채전입액(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B300013400,손익계산서,기타,기타,,,False,0,0.0032,15,천원,,OK,,[U03B300013400]      기타(IFRS)(천원),0.0,7605.220000000001,1319570.0,49765864.45999997,56543000.0
U03B430000000,손익계산서,영업손익,영업손익,,,False,0,0.0032,15,천원,,OK,,[U03B430000000]영업손익(IFRS)(천원),-86325035.0,-54319396.44,209079378.0,1162036348.8999996,1280930000.0
U03B450000000,손익계산서,영업외수익,영업외수익,,,True,0,0.0032,15,천원,,OK,,[U03B450000000]영업외수익(*)(IFRS)(천원),24827.0,25163.0,998275.0,176317631.1999999,203032000.0
U03B450010000,손익계산서,이자수익,이자수익,,,False,0,0.0032,15,천원,,OK,,[U03B450010000]   이자수익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450010100,손익계산서,배당금수익,배당금수익,,,False,0,0.0032,15,천원,,OK,,[U03B450010100]   배당금수익(IFRS)(천원),0.0,0.0,0.0,72105839.99999996,83844000.0
U03B450010200,손익계산서,외환거래이익,외환거래이익,,,True,0,0.0032,15,천원,,OK,,[U03B450010200]   외환거래이익(*)(IFRS)(천원),0.0,0.0,0.0,361199.99999999977,420000.0
U03B450010300,손익계산서,외환차익,외환차익,,,False,0,0.0032,15,천원,,OK,,[U03B450010300]      외환차익(IFRS)(천원),0.0,0.0,0.0,10319.999999999993,12000.0
U03B450010400,손익계산서,외화환산이익,외화환산이익,,,False,0,0.0032,15,천원,,OK,,[U03B450010400]      외화환산이익(IFRS)(천원),0.0,0.0,0.0,350879.99999999977,408000.0
U03B450010500,손익계산서,기타외화거래이익,기타외화거래이익,,,False,0,0.0032,15,천원,,OK,,[U03B450010500]      기타외화거래이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450010600,손익계산서,수입수수료,수입수수료,,,False,0,0.0032,15,천원,,OK,,[U03B450010600]   수입수수료(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450010700,손익계산서,상각채권추심이익,상각채권추심이익,,,False,0,0.0032,15,천원,,OK,,[U03B450010700]   상각채권추심이익(IFRS)(천원),0.0,0.0,0.0,4715298.299999997,5482905.0
U03B450010800,손익계산서,임대료,임대료,,,False,0,0.0032,15,천원,,OK,,[U03B450010800]   임대료(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450010900,손익계산서,대손충당금환입액,대손충당금환입액,,,False,0,0.0032,15,천원,,OK,,[U03B450010900]   대손충당금환입액(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011000,손익계산서,충당부채환입액,충당부채환입액,,,False,0,0.0032,15,천원,,OK,,[U03B450011000]   충당부채환입액(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011100,손익계산서,유가증권처분이익,유가증권처분이익,,,True,0,0.0032,15,천원,,OK,,[U03B450011100]   유가증권처분이익(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011200,손익계산서,매도가능금융자산처분이익,매도가능금융자산처분이익,,,False,0,0.0032,15,천원,,OK,,[U03B450011200]      매도가능금융자산처분이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011300,손익계산서,만기보유금융자산처분이익,만기보유금융자산처분이익,,,False,0,0.0032,15,천원,,OK,,[U03B450011300]      만기보유금융자산처분이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011400,손익계산서,기타,기타,,,False,0,0.0032,15,천원,,OK,,[U03B450011400]      기타(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011500,손익계산서,유가증권손상차손환입,유가증권손상차손환입,,,True,0,0.0032,15,천원,,OK,,[U03B450011500]   유가증권손상차손환입(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011600,손익계산서,매도가능금융자산손상차손환입,매도가능금융자산손상차손환입,,,False,0,0.0032,15,천원,,OK,,[U03B450011600]      매도가능금융자산손상차손환입(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011700,손익계산서,만기보유금융자산손상차손환입,만기보유금융자산손상차손환입,,,False,0,0.0032,15,천원,,OK,,[U03B450011700]      만기보유금융자산손상차손환입(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011800,손익계산서,기타,기타,,,False,0,0.0032,15,천원,,OK,,[U03B450011800]      기타(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450011900,손익계산서,"종속기업, 공동지배기업 및 관계기업 관련 이익","종속기업, 공동지배기업 및 관계기업 관련 이익",,,True,0,0.0032,15,천원,,OK,,"[U03B450011900]   종속기업, 공동지배기업 및 관계기업 관련 이익(*)(IFRS)(천원)",0.0,0.0,0.0,40218759.99999997,46766000.0
U03B450012000,손익계산서,지분법관련이익,지분법관련이익,,,False,0,0.0032,15,천원,,OK,,[U03B450012000]      지분법관련이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450012100,손익계산서,관계기업관련이익,관계기업관련이익,,,False,0,0.0032,15,천원,,OK,,[U03B450012100]      관계기업관련이익(IFRS)(천원),0.0,0.0,0.0,40218759.99999997,46766000.0
U03B450012200,손익계산서,종속기업관련이익,종속기업관련이익,,,False,0,0.0032,15,천원,,OK,,[U03B450012200]      종속기업관련이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450012300,손익계산서,기타,기타,,,False,0,0.0032,15,천원,,OK,,[U03B450012300]      기타(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450012400,손익계산서,파생상품이익,파생상품이익,,,True,0,0.0032,15,천원,,OK,,[U03B450012400]   파생상품이익(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450012500,손익계산서,파생상품거래이익,파생상품거래이익,,,False,0,0.0032,15,천원,,OK,,[U03B450012500]      파생상품거래이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450012600,손익계산서,파생상품평가이익,파생상품평가이익,,,False,0,0.0032,15,천원,,OK,,[U03B450012600]      파생상품평가이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450012700,손익계산서,기타파생상품이익,기타파생상품이익,,,False,0,0.0032,15,천원,,OK,,[U03B450012700]      기타파생상품이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450012800,손익계산서,사채상환이익,사채상환이익,,,False,0,0.0032,15,천원,,OK,,[U03B450012800]   사채상환이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450012900,손익계산서,자산처분이익,자산처분이익,,,True,0,0.0032,15,천원,,OK,,[U03B450012900]   자산처분이익(*)(IFRS)(천원),0.0,0.0,48000.0,11561059.999999994,13069000.0
U03B450013000,손익계산서,"유형,리스(사용권)자산처분이익","유형,리스(사용권)자산처분이익",,,False,0,0.0032,15,천원,,OK,,"[U03B450013000]      유형,리스(사용권)자산처분이익(IFRS)(천원)",0.0,0.0,21000.0,11444319.999999994,13000000.0
U03B450013100,손익계산서,무형자산처분이익,무형자산처분이익,,,False,0,0.0032,15,천원,,OK,,[U03B450013100]      무형자산처분이익(IFRS)(천원),0.0,0.0,0.0,614240.0,626000.0
U03B450013200,손익계산서,매각 및 처분예정자산집단처분이익,매각 및 처분예정자산집단처분이익,,,False,0,0.0032,15,천원,,OK,,[U03B450013200]      매각 및 처분예정자산집단처분이익(IFRS)(천원),0.0,0.0,0.0,59339.99999999996,69000.0
U03B450013300,손익계산서,기타자산처분이익,기타자산처분이익,,,False,0,0.0032,15,천원,,OK,,[U03B450013300]      기타자산처분이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450013400,손익계산서,자산재평가이익,자산재평가이익,,,False,0,0.0032,15,천원,,OK,,[U03B450013400]   자산재평가이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450013500,손익계산서,자산손상차손환입,자산손상차손환입,,,True,0,0.0032,15,천원,,OK,,[U03B450013500]   자산손상차손환입(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450013600,손익계산서,유형자산손상차손환입,유형자산손상차손환입,,,False,0,0.0032,15,천원,,OK,,[U03B450013600]      유형자산손상차손환입(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450013700,손익계산서,무형자산손상차손환입,무형자산손상차손환입,,,False,0,0.0032,15,천원,,OK,,[U03B450013700]      무형자산손상차손환입(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450013800,손익계산서,기타자산손상차손환입,기타자산손상차손환입,,,False,0,0.0032,15,천원,,OK,,[U03B450013800]      기타자산손상차손환입(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450013900,손익계산서,자산수증이익,자산수증이익,,,False,0,0.0032,15,천원,,OK,,[U03B450013900]   자산수증이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450014000,손익계산서,보험차익,보험차익,,,False,0,0.0032,15,천원,,OK,,[U03B450014000]   보험차익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450014100,손익계산서,법인세환급액,법인세환급액,,,False,0,0.0032,15,천원,,OK,,[U03B450014100]   법인세환급액(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450014200,손익계산서,전기오류수정이익,전기오류수정이익,,,False,0,0.0032,15,천원,,OK,,[U03B450014200]   전기오류수정이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450014300,손익계산서,퇴직연금운용이익,퇴직연금운용이익,,,False,0,0.0032,15,천원,,OK,,[U03B450014300]   퇴직연금운용이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450014400,손익계산서,보험수리적이익,보험수리적이익,,,False,0,0.0032,15,천원,,OK,,[U03B450014400]   보험수리적이익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B450099000,손익계산서,기타영업외수익,기타영업외수익,,,False,0,0.0032,15,천원,,OK,,[U03B450099000]   기타영업외수익(IFRS)(천원),9000.0,11215.78,447127.0,51978142.57999997,59353000.0
U03B470000000,손익계산서,영업외비용,영업외비용,,,True,0,0.0032,15,천원,,OK,,[U03B470000000]영업외비용(*)(IFRS)(천원),1172536.0,1265462.4,2882042.0,102117953.41999996,114037000.0
U03B470010000,손익계산서,이자비용,이자비용,,,False,0,0.0032,15,천원,금융비용,OK,,[U03B470010000]   이자비용(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470010100,손익계산서,외환거래손실,외환거래손실,,,True,0,0.0032,15,천원,,OK,,[U03B470010100]   외환거래손실(*)(IFRS)(천원),0.0,0.0,0.0,3439.9999999999977,4000.0
U03B470010200,손익계산서,외환차손,외환차손,,,False,0,0.0032,15,천원,,OK,,[U03B470010200]      외환차손(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470010300,손익계산서,외화환산손실,외화환산손실,,,False,0,0.0032,15,천원,,OK,,[U03B470010300]      외화환산손실(IFRS)(천원),0.0,0.0,0.0,3439.9999999999977,4000.0
U03B470010400,손익계산서,기타외환거래손실,기타외환거래손실,,,False,0,0.0032,15,천원,,OK,,[U03B470010400]      기타외환거래손실(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470010500,손익계산서,지급수수료,지급수수료,,,False,0,0.0032,15,천원,,OK,,[U03B470010500]   지급수수료(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470010600,손익계산서,기부금,기부금,,,False,0,0.0032,15,천원,,OK,,[U03B470010600]   기부금(IFRS)(천원),532000.0,646100.0,2338000.0,66289959.99999996,76473000.0
