arm,model,budget,contrast,oracle,N,estimate,ci_low,ci_high,raw_p,neg,pos,holm_p
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C5-C4,gamma,575,0.0320760658804888,0.0052086074698432456,0.059677171511423245,0.0197980201979802,98,9902,0.1385861413858614
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C5-C4,gamma,575,-0.003446190649607252,-0.04085069152196138,0.0343094979764421,0.8461153884611539,5770,4230,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C6-E-C4R,gamma,575,0.009025870593614687,-0.008313532229033123,0.02716957483802812,0.3027697230276972,1513,8487,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C6-E-C4R,gamma,575,0.007195783982274209,-0.017557618831736097,0.03232150700145596,0.5661433856614339,2830,7170,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,B1,C6-E-C6-EX,gamma,575,0.011390840086019323,-0.009798704837308886,0.032959353363968345,0.28877112288771123,1443,8557,1.0
BASELINE_STRICT_ITT,google_gemini31flashlite,BINF,C6-E-C6-EX,gamma,575,0.009821209585697127,-0.01565807989145777,0.03557170495926237,0.44935506449355067,2246,7754,1.0
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C4R-C4,alpha,575,0.16926204673262027,0.11496404796131461,0.22932572070253537,0.00019998000199980003,0,10000,0.0015998400159984002
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C4R-C4,alpha,575,0.13664205654953837,0.07753334966910154,0.19849976822653925,0.00019998000199980003,0,10000,0.0015998400159984002
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C5-C4,alpha,575,0.1959945279330859,0.1034595223751387,0.28836771646844567,0.00019998000199980003,0,10000,0.0015998400159984002
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C5-C4,alpha,575,0.10111825599109216,-0.008243533687082848,0.21055779630788612,0.06879312068793121,343,9657,0.13758624137586242
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C6-E-C4R,alpha,575,0.03752698838838521,-0.05480413115678979,0.12729773377846232,0.40355964403559647,2017,7983,0.40355964403559647
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C6-E-C4R,alpha,575,0.14720173862104483,0.05111249503132144,0.2445274844486891,0.004999500049995001,24,9976,0.019998000199980003
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C6-E-C6-EX,alpha,575,0.17419159018780905,0.07508861399203627,0.2767238440848518,0.00039996000399960006,1,9999,0.001999800019998
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C6-E-C6-EX,alpha,575,0.1269734147374839,0.017285276233398022,0.23903647872957076,0.022397760223977603,111,9889,0.06719328067193281
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C4R-C4,beta,575,0.02137747610494546,0.0026107282596656055,0.041271392275863766,0.026797320267973202,133,9867,0.16078392160783922
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C4R-C4,beta,575,0.012981886339606898,-0.008800169640287837,0.034100978188265574,0.21437856214378562,1071,8929,0.5633436656334366
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C5-C4,beta,575,0.048196001474410055,0.017881013130133416,0.07989872385985977,0.0023997600239976003,11,9989,0.016798320167983202
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C5-C4,beta,575,0.015868820144231712,-0.0145944258510682,0.04732196956789599,0.3083691630836916,1541,8459,0.5633436656334366
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C6-E-C4R,beta,575,0.022378745400727297,-0.00492090453943195,0.05032016945422877,0.11358864113588642,567,9433,0.5209479052094791
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C6-E-C4R,beta,575,0.05011940718069893,0.021880173738921052,0.07990399444748936,0.00039996000399960006,1,9999,0.0031996800319968005
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C6-E-C6-EX,beta,575,0.02137248101847773,-0.004641895693171437,0.046600917289369326,0.10418958104189581,520,9480,0.5209479052094791
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C6-E-C6-EX,beta,575,0.02278297983758497,-0.01134432116627921,0.0577469754224314,0.1877812218778122,938,9062,0.5633436656334366
BASELINE_STRICT_ITT,openai_gpt54mini,B1,C4R-C4,gamma,575,0.047781173175033574,0.02547635418434882,0.07209131710178178,0.00019998000199980003,0,10000,0.0015998400159984002
BASELINE_STRICT_ITT,openai_gpt54mini,BINF,C4R-C4,gamma,575,0.044998489511717685,0.022870722296721557,0.06862519658078131,0.00019998000199980003,0,10000,0.0015998400159984002
