table_id,row_id,chapter,analysis_id,statistical_path,model,oracle,reasoning_regime,execution_policy,population,action_space,budget,information_condition,lhs,rhs,N,estimate,ci_low,ci_high,raw_p,holm_p,canonical_file,canonical_key_sha256
PRIMARY,PRIMARY_025,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,alpha,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.1366420565495383,0.0775333496691015,0.1984997682265392,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_026,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,alpha,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C5,C4,575,0.1959945279330859,0.1034595223751387,0.2883677164684456,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_027,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,alpha,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C5,C4,575,0.1011182559910921,-0.0082435336870828,0.2105577963078861,0.0687931206879312,0.1375862413758624,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_028,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,alpha,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C4R,575,0.0375269883883852,-0.0548041311567897,0.1272977337784623,0.4035596440355964,0.4035596440355964,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_029,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,alpha,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C4R,575,0.1472017386210448,0.0511124950313214,0.2445274844486891,0.004999500049995,0.01999800019998,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_030,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,alpha,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C6-EX,575,0.174191590187809,0.0750886139920362,0.2767238440848518,0.0003999600039996,0.001999800019998,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_031,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,alpha,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C6-EX,575,0.1269734147374839,0.017285276233398,0.2390364787295707,0.0223977602239776,0.0671932806719328,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_032,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,beta,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,0.0213774761049454,0.0026107282596656,0.0412713922758637,0.0267973202679732,0.1607839216078392,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_033,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,beta,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.0129818863396068,-0.0088001696402878,0.0341009781882655,0.2143785621437856,0.5633436656334366,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_034,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,beta,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C5,C4,575,0.04819600147441,0.0178810131301334,0.0798987238598597,0.0023997600239976,0.0167983201679832,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_035,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,beta,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C5,C4,575,0.0158688201442317,-0.0145944258510682,0.0473219695678959,0.3083691630836916,0.5633436656334366,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_036,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,beta,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C4R,575,0.0223787454007272,-0.0049209045394319,0.0503201694542287,0.1135886411358864,0.5209479052094791,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_037,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,beta,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C4R,575,0.0501194071806989,0.021880173738921,0.0799039944474893,0.0003999600039996,0.0031996800319968,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_038,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,beta,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C6-EX,575,0.0213724810184777,-0.0046418956931714,0.0466009172893693,0.1041895810418958,0.5209479052094791,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_039,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,beta,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C6-EX,575,0.0227829798375849,-0.0113443211662792,0.0577469754224314,0.1877812218778122,0.5633436656334366,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_040,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,gamma,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,0.0477811731750335,0.0254763541843488,0.0720913171017817,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_041,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,gamma,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.0449984895117176,0.0228707222967215,0.0686251965807813,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_042,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,gamma,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C5,C4,575,0.0531272063882118,0.0212970931876994,0.0867152838829891,0.0013998600139986,0.0083991600839916,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_043,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,gamma,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C5,C4,575,-0.023261434327803,-0.0680722264765302,0.020148421020395,0.2867713228677132,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_044,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,gamma,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C4R,575,0.0114191830562777,-0.0270802196470531,0.0502477084793054,0.5593440655934406,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_045,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,gamma,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C4R,575,0.0220223117543982,-0.0188754783507007,0.0632426454929981,0.2777722227777222,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_046,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,gamma,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C6-EX,575,0.0399611755012864,0.0013616919358325,0.0812984556806611,0.0425957404259574,0.212978702129787,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_047,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,gamma,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C6-EX,575,0.0195783221568799,-0.0211960429805863,0.0586037854060971,0.332966703329667,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_048,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,HIGH,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,-0.0101715859116971,-0.0429090398201244,0.0209209063949733,0.5293470652934706,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_049,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.1448879457482113,0.091380150745271,0.2009250485972086,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_050,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,HIGH,STRICT,ITT,FREE8,B1,IC-b,C5,C4,575,0.0648693881700845,0.0051312646936128,0.1249698414921146,0.0307969203079692,0.1847815218478152,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_051,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C5,C4,575,-0.0652430602825521,-0.1513685994476091,0.0199328906630745,0.137986201379862,0.6899310068993101,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_052,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,HIGH,STRICT,ITT,FREE8,B1,IC-b,C6,E-C4R,575,0.089721502462878,0.040756945820926,0.1405161538324494,0.0003999600039996,0.0027997200279972,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_053,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C4R,575,0.0430853162824828,-0.0188174235038797,0.105290116903302,0.1715828417158284,0.6899310068993101,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_054,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,HIGH,STRICT,ITT,FREE8,B1,IC-b,C6,E-C6-EX,575,0.0412234976762198,-0.0133592413164991,0.0985927305571175,0.1411858814118588,0.6899310068993101,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_055,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,alpha,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C6-EX,575,0.0153244899294307,-0.0404950125066569,0.072365774469249,0.6007399260073992,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_056,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,HIGH,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,-0.0013103484056153,-0.0040889596262204,0.0013335156344873,0.338966103389661,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_057,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.0301911152468026,0.0140562770997067,0.0513270615986305,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_058,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,HIGH,STRICT,ITT,FREE8,B1,IC-b,C5,C4,575,0.0140109216458056,-0.0047856430766567,0.0348178819698949,0.1515848415158484,0.9095090490950906,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_059,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C5,C4,575,-0.0007981189027952,-0.0338456498573947,0.0326611058492381,0.9649035096490352,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_060,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,HIGH,STRICT,ITT,FREE8,B1,IC-b,C6,E-C4R,575,0.0156379359911485,0.0060378232218724,0.0283033382356119,0.0007999200079992,0.0055994400559944,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_061,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C4R,575,0.0120003347734194,-0.0156963708105532,0.0388679600268372,0.3857614238576142,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_062,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,HIGH,STRICT,ITT,FREE8,B1,IC-b,C6,E-C6-EX,575,0.0043140206694648,-0.0021365564324645,0.0104579005140974,0.17998200179982,0.9095090490950906,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_063,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C6-EX,575,-0.0002395902546702,-0.0192187892251971,0.0148784508940802,0.9667033296670332,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_064,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,HIGH,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,0.0036267184990259,-0.0086600385842221,0.0162953234772523,0.5521447855214479,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_065,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.0122270227924374,-0.0018515578093984,0.0272297219195051,0.0951904809519048,0.475952404759524,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_066,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,HIGH,STRICT,ITT,FREE8,B1,IC-b,C5,C4,575,0.0144251914567255,-0.0153108408672158,0.0437281973562624,0.3601639836016398,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_067,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,HIGH,STRICT,ITT,FREE8,BINF,IC-b,C5,C4,575,-0.0185250162845019,-0.0548580689130501,0.0166596818435356,0.3117688231176882,1.0,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_068,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,HIGH,STRICT,ITT,FREE8,B1,IC-b,C6,E-C4R,575,0.0221744197253284,0.0018992037525231,0.044378380673477,0.0317968203179682,0.2225777422257774,frozen_inputs/stage8/V13_HIGH_STRICT_PRIMARY_FULLSTREAM.csv,
