analysis_id,reasoning_regime,model,budget,information_condition,action_space,execution_policy,population,oracle,contrast,N,c4_usable_n,c4_unusable_n,as_executed_mean,parent_gate_mean,difference_gate_minus_actual,changed_firms
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C5-C4,575,419,156,0.015868820144231712,0.015868820144231712,0.0,0
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C4R-C4,575,419,156,0.012981886339606898,-0.0019346169784909908,-0.01491650331809789,130
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C4R,575,419,156,0.05011940718069893,0.03912953215238033,-0.0109898750283186,122
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C6-EX,575,419,156,0.022782979837584972,0.010478478187682137,-0.012304501649902835,116
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C5-C4,575,419,156,-0.023261434327803063,-0.023261434327803063,0.0,0
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C4R-C4,575,419,156,0.044998489511717685,-0.004230483543469535,-0.04922897305518722,74
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C4R,575,419,156,0.022022311754398272,0.02639377620530538,0.004371464450907109,68
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C6-EX,575,419,156,0.019578322156879994,0.003588390607210163,-0.01598993154966983,65
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C5-C4,575,570,5,0.06486938817008457,0.06486938817008457,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C4R-C4,575,570,5,-0.010171585911697123,-0.010171585911697086,3.642919299551295e-17,3
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C4R,575,570,5,0.08972150246287806,0.0822905156908394,-0.00743098677203867,2
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C6-EX,575,570,5,0.04122349767621988,0.05029758360194803,0.009074085925728156,1
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C5-C4,575,570,5,0.014010921645805696,0.014010921645805696,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C4R-C4,575,570,5,-0.0013103484056153705,-0.0013103484056153705,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C4R,575,570,5,0.01563793599114854,0.014980427640667695,-0.0006575083504808451,2
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C6-EX,575,570,5,0.004314020669464861,0.004361529771374964,4.750910191010302e-05,5
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C5-C4,575,570,5,0.014425191456725573,0.014425191456725573,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C4R-C4,575,570,5,0.0036267184990259444,0.0036267184990259444,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C4R,575,570,5,0.02217441972532843,0.01946711486742461,-0.0027073048579038216,2
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C6-EX,575,570,5,0.0114101597553352,0.014478158906223951,0.0030679991508887512,2
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C5-C4,575,575,0,-0.06524306028255217,-0.06524306028255217,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C4R-C4,575,575,0,0.14488794574821137,0.14488794574821137,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C4R,575,575,0,0.04308531628248281,0.04308531628248281,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C6-EX,575,575,0,0.015324489929430718,0.015324489929430718,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C5-C4,575,575,0,-0.0007981189027952248,-0.0007981189027952248,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C4R-C4,575,575,0,0.030191115246802666,0.030191115246802666,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C4R,575,575,0,0.012000334773419486,0.012000334773419486,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C6-EX,575,575,0,-0.0002395902546702019,-0.0002395902546702019,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C5-C4,575,575,0,-0.018525016284501938,-0.018525016284501938,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C4R-C4,575,575,0,0.012227022792437457,0.012227022792437457,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C4R,575,575,0,0.04274129291816281,0.04274129291816281,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GEMINI,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C6-EX,575,575,0,0.022774430208651802,0.022774430208651802,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C5-C4,575,560,15,0.012912511776216704,0.012912511776216704,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C4R-C4,575,560,15,0.026393680407925,0.002365578043972777,-0.02402810236395222,10
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C4R,575,560,15,0.1003235457966653,0.1003235457966653,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C6-EX,575,560,15,0.11462877777824484,0.10593262946494006,-0.008696148313304786,2
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C5-C4,575,560,15,0.005211503256434854,0.005211503256434854,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C4R-C4,575,560,15,-0.002575693004872514,-0.005468738336763931,-0.002893045331891417,15
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C4R,575,560,15,0.023097604818972117,0.023265512906906826,0.00016790808793470946,5
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C6-EX,575,560,15,0.008372862095831815,0.00872834949178126,0.0003554873959494449,5
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C5-C4,575,560,15,0.0009542434275145262,0.0009542434275145262,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C4R-C4,575,560,15,0.0012341025131362554,0.001599058866716988,0.00036495635358073267,6
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C4R,575,560,15,0.019610246384701845,0.020175458997234393,0.000565212612532548,2
PARENT_GATE_SENSITIVITY,HIGH,GPT,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C6-EX,575,560,15,0.02863403862791834,0.02962142050701746,0.0009873818790991189,3
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C5-C4,575,568,7,-0.06795106667476163,-0.06795106667476163,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C4R-C4,575,568,7,0.07236468048287863,0.05290795476996807,-0.019456725712910558,6
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C4R,575,568,7,0.21419914250720626,0.20878825523275885,-0.005410887274447412,3
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C6-EX,575,568,7,0.07665839148911478,0.07124750421466736,-0.005410887274447426,3
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C5-C4,575,568,7,0.0047568855226433355,0.0047568855226433355,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C4R-C4,575,568,7,0.010572450830408616,0.009301501409296314,-0.0012709494211123017,7
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C4R,575,568,7,0.04248164364213238,0.041896765753756796,-0.0005848778883755859,5
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C6-EX,575,568,7,0.010809447690926241,0.010176553827932082,-0.0006328938629941595,7
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C5-C4,575,568,7,-0.006189352039379848,-0.006189352039379848,0.0,0
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C4R-C4,575,568,7,0.017864841718785555,0.014276748625495484,-0.0035880930932900706,3
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C4R,575,568,7,0.07090013003089726,0.06745332945784295,-0.003446800573054312,4
PARENT_GATE_SENSITIVITY,HIGH,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C6-EX,575,568,7,0.041174252952824814,0.037847188098395844,-0.0033270648544289697,4
